,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
807,Pattern Studying and Making  图案审美与创作  ,TsinghuaX,Art & Culture,"Are you an original designer? Or a DIY fancier?
Come and join us, expandyour mind, enhance your appreciation andlearn practical skills in pattern and design. ",139.00,0,12,0
808,Data Analytics and Visualization in Health Care  ,RITx,Data Analysis & Statistics,"Big data is transforming the health care industry relative to improving quality of care and reducing costs--key objectives for most organizations. Employers are desperately searching for professionals who have the ability to extract, analyze, and interpret data from patient health records, insurance claims, financial records, and more to tell a compelling and actionable story using health care data analytics. ",249.00,7527,8,2
809,Image Processing and Analysis for Life Scientists  ,EPFLx,Data Analysis & Statistics,"Nowadays, image-based methods are indispensable for life scientists. Light microscopy especially, has evolved from sketched out observations by eye, to high throughput multi-plane, multi-channel, multi-position and multimode acquisitions that easily produce thousands of information-rich images that must be quantified somehow to answer biological questions. ",199.00,8845,7,1
810,"Cosmic Rays, Dark Matter, and the Mysteries of the Universe  ",WasedaX,Physics,"In the Universe, high-energy cosmic rays are violently propagating in space. While we know these cosmic rays come from outside of the solar system, exactly how and where they originate is a mystery.",49.00,12964,4,1
811,Advanced Linear Algebra: Foundations to Frontiers  ,UTAustinX,Computer Science,"Linear algebra is one of the fundamental tools for computational and data scientists. In Advanced Linear Algebra: Foundations to Frontiers (ALAFF), you will build your knowledge, understanding, and skills in linear algebra, practical algorithms for matrix computations, and the analysis of the effects of floating-point arithmetic as performed by computers.",49.00,0,16,2
812,The Conquest of Space: Space Exploration and Rocket Science  ,UC3Mx,Engineering,"Space exploration plays a major role in the history of humankind. The cultural, political and sociological repercussions are extraordinary, and the amount of resources dedicated to space exploration is enormous. This aerospace course is a first step for those interested in learning more about the history of the space and the impact of space exploration on our daily lives.",129.00,20205,7,0
813,Mechanics: Simple Harmonic Motion  ,MITx,Physics,This is the fourth of a series of four modules that cover calculus-based mechanics. You will explore simple harmonic motion through springs and pendulums. This short course will culminate in the ability to use the Taylor Formula to approximate a variety of other situations as simple harmonic motion. ,49.00,0,8,1
814,Rise to Leadership: Become a CEO  ,BabsonX,Business & Management,"If you’re ambitious, it’s natural to aspire to be the leader ofan organization. A lot of people in business want to be a CEO; to lead and shape an organization. Many, however, quickly discover that ambition alone is not enough to achieve this goal. Some ascend to theC-suite or leave to start their own venture, only to discover that leading a business - evenone's own - requires not just determination but a number of unanticipated skills. ",199.00,17088,4,1
815,Fundamentos de Mecánica para Ingeniería  ,UPValenciaX,Physics,Se aborda el estudio del universo físico analizando objetos en movimiento. Se definen y analizan todas las magnitudes y leyes físicas que permiten describir geométrica y causalmente el movimiento de cuerpos representados por un punto.,49.00,14469,6,0
816,Applied Deep Learning Capstone Project  ,IBM,Data Analysis & Statistics,"In this capstone project, you'lluse a Deep Learning library ofyour choice to develop, train, and test a Deep Learning model.Loadand preprocess data for a real problem, build the model and then validate it. ",99.00,8541,5,2
817,Market Segmentation Analysis  ,UQx,Business & Management,Conducting market segmentation analysis and committing to a long-term market segmentation strategy is a complex and challenging journey for any organisation. This course guides you through the entire process of market segmentation analysis and offers a ten-step process that makes customer segmentation efficient and organised. ,99.00,17157,5,1
818,Diversity and Social Justice in Social Work  ,MichiganX,Social Sciences,"In this social sciences course, you will develop a framework for:",199.00,11269,8,2
819,Robot Development  ,FedericaX,Engineering,Thiscourse opens an in-depth discussion and creates a better understanding of the field of developmental cognitive robotics. This field takes direct inspiration from child psychology theories and findings to develop sensorimotor and cognitive skills in robots. ,60.00,0,6,1
820,Financing Innovative Ventures  ,UMD,Business & Management,"This course will demystify key financial concepts to give aspiring and active entrepreneurs and innovators a guide for understanding their financials and securing funding. Assuming that our learners have no prior knowledge in accounting, economics, or finance, we will work from the ground up to:",149.00,0,4,0
821,"Mechanical Behavior of Materials, Part 2:  Stress Transformations, Beams, Columns, and Cellular Solids  ",MITx,Engineering,"All around us, engineers are creating materials whose properties are exactly tailored to their purpose. This course is the second of three in a series of mechanics courses from the Department of Materials Science and Engineering at MIT. Taken together, these courses provide similar content to the MIT subject 3.032: Mechanical Behavior of Materials.",49.00,14563,4,1
822,Enabling Technologies for Data Science and Analytics: The Internet of Things  ,ColumbiaX,Computer Science,The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020.,99.00,71377,5,0
823,Almacenamiento de energía  ,GalileoX,Energy & Earth Sciences,,29.00,0,4,1
824,Happier Employees and Return-On-Investment Course  ,UTAustinX,Business & Management,"How is career success related to happiness and vice versa? Most of us believe that career success leads to happiness. In fact, however, scientific evidence suggests that the reverse is even more true: happiness leads to career success. For example, one study found that the top 20% of the happiest people earned 32% more salary than least happy 20%. ",49.00,6195,4,0
825,Impact Evaluation Methods with Applications in Low- and Middle-Income Countries  ,GeorgetownX,Economics & Finance,"Economic development is a process of trial and error, innovation and experimentation, success and failure. Given the right institutions, some not unfavorable resource endowments, and a bit of luck, incomes can grow, health can improve, and human development can flourish; other times, things don’t turn out so well.",139.00,0,24,0
826,Electric Cars: Business  ,DelftX,Business & Management,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. If you want to explore the business opportunities this new market offers, then this is the course for you! ",50.00,14359,4,1
827,User Experience (UX) Design: Human Factors and Culture in Design  设计的人因与文化  ,TsinghuaX,Engineering,"The most successful products and services offer rich and colorful user experiences that take into account social and cultural patterns. Learn how to create excellent user experience (UX) designs which are user-centered and consider factors such as consumer demand, ability and cultural background.",139.00,24017,7,2
828,Finding Your Cybersecurity Career Path  ,UWashingtonX,Computer Science,"In this course, you will focus on the pathways to cybersecurity career success. You will determine your own incoming skills, talent, and deep interests to apply toward a meaningful and informed exploration of 32 Digital Pathways of Cybersecurity.",199.00,19534,6,0
829,Hong Kong Cinema through a Global Lens  全球化下的香港电影  ,HKUx,Humanities,Hong Kong Cinema has a global reach. Let’s explore how it reached you… Perhaps you know the films of martial arts icons Bruce Lee and Jackie Chan or the heroic bloodshed films of John Woo.,50.00,12616,6,0
830,Solar Energy Engineering: Comprehensive Exams  ,DelftX,Engineering,"In this course you will gain access to two final exams. The first exam covers the content of PV1x and PV2x, and the second exam covers the content of PV3x and PV4x. For each exam you are given two attempts. You will be given exam preparation material to help you prepare.",250.00,0,8,2
831,Producción musical y su efecto en la composición  ,BerkleeX,Music,"En este curso de producción musical aprenderás sobre el proceso de producción y cómo este está relacionado directamente con la composición, conocerás lo que pasa en un estudio de grabación. Este curso te permitirá aprender de un equipo de músicos con reconocimiento internacional y conocerás los pasos del proceso de producir música.",49.00,8078,6,0
832,Liderazgo inclusivo  ,UC3Mx,Business & Management,"La diversidad es un tema bien conocido en el ámbito de la dirección de empresas. Es frecuente encontrar empresas que desarrollan e implementan políticas de diversidad en sus organizaciones. Por ejemplo, todos pensamos en las empresas que quieren tener una plantilla multicultural, procedente de muchos países, o aquellas que buscan empleados de distintas edades, con distinta formación e incluso con distinta personalidad o procedentes de un entorno socio-económico diferente.",29.00,0,5,1
833,Micro and Nanofabrication (MEMS)  ,EPFLx,Engineering,"Microfabrication and nanofabrication are the basis of manufacturing for nearly all modern miniaturized systems that are ubiquitously used in our daily life. Examples include; computer chips and integrated sensors for monitoring our environment, cars, mobile phones, medical devices and more.",199.00,16277,7,2
834,Modern China’s Foundations: The Manchus and the Qing  ,HarvardX,History,"This course, part of a comprehensive series on China, looks at the Qing state in the early 1600s and the challenges that the Manchus faced as minority rulers. While living in Chinese cities and surrounded by Chinese culture — a culture that was far more sophisticated than their own — the Manchus struggled to hold onto their identity as a conquesting people. ",99.00,47453,15,0
835,"Introduction to Corporate Sustainability, Social Innovation and Ethics  ",ImperialBusinessX,Business & Management,"Sustainability is one of the key issuesfacing today’s society. This is underlined by the increasing attention on sustainability issues by governments, media, academics and industry. ",79.00,5598,6,0
836,Doing Gender and Why it Matters  ,HKUx,Social Sciences,"Multiple experts from across faculties at The University of Hong Kong and professionals engaged in gender-related developments in Asia will address the ways in which gender is understood, constructed and performed. Drawing from a variety of perspectives – cultural studies, economics, education, law, linguistics, psychology, public health, politics, social policy, and sociology - we begin by questioning meanings of gender in different cultural settings and historical moments. What do the representations of our currently used categories such as man, woman, transgender, queer, cisgender, bisexual, or intersex mean in different contexts? How are conversations about gender taking place in Asia and how do they converge or diverge from those happening elsewhere? ",99.00,7109,6,0
837,"Social Work Practice in Community Organization, Management and Policy/Evaluation  ",MichiganX,Social Sciences,"In this social science course we will discuss various methods, strategies and skills within macro social work practice, used to help identify and address needs on a larger scale. You will gain knowledge and skills in the areas of community organizing, management, and policy advocacy, and learn about the various roles social workers play within these areas. This course will provide an appreciation of the historical and contemporary importance of these social work methods and the relevance of these methods for diverse populations and identities.",199.00,9683,8,2
838,Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO)  ,UPValenciaX,Engineering,"En los aeropuertos tienen lugar las fases mas criticas del transporte aereo desde el punto de vista de la seguridad operacional, el paso del contacto con la tierra al vuelo del avion y del vuelo al contacto con la tierra. Ademas, en ellos se concentran los aviones que en el resto de las fases de vuelo se mueven dispersos por el espacio aereo. Por ello es crucial que sean seguros y eficientes y por ello casi todo lo que tiene que ver con la parte aeronautica de un aeropuerto esta regulado minuciosamente. ",75.00,0,7,1
839,Leading Ambitious Teaching and Learning  ,MichiganX,Education & Teacher Training,Want to explore ambitious teaching and how collaboration between students and teachers can lead to deeper learning and the development of 21st-century skills?,199.00,24504,6,2
840,Fundamentals of Microeconomics  Fundamentos de Microeconomía  ,UC3Mx,Social Sciences,Are you interested in obtaining a solid background in economics?,129.00,18671,7,0
841,"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa  ",LinuxFoundationX,Computer Science,"To the surprise of absolutely no one, trust is broken on the Internet. Wherever you go online, the advice is the same--make sure you understand what's behind each button before you click it.",199.00,0,7,0
842,AP® Calculus BC  ,DavidsonNext,Math,"In this calculus course, you will learn all the Calculus BC topics that are not part of the AP® Calculus AB curriculum by engaging with video instruction, exam-style questions and interactive activities.",49.00,8768,11,0
843,Robotics Foundation II - Robot Control  ,FedericaX,Engineering,"Robotics is commonly defined as the study of the intelligent connection between perception and action. As such, the full scope of robotics lies at the intersection of mechanics, electronics, signal processing, control engineering, computing, and mathematical modeling. ",60.00,0,12,1
844,Reacciones Químicas y Cálculos Estequiométricos  ,UPValenciaX,Chemistry,"Con este curso aprenderás los conceptos básicos relacionados con las reacciones químicas y profundizarás en su estudio desde el punto de vista cuantitativo, es decir su estequiometría. Entenderás el comportamiento de los gases y las disoluciones y aplicarás las leyes que regulan su comportamiento en los procesos químicos en los que participan. ",49.00,9105,6,0
845,Fundamentals of Financial Mathematics and Capital Budgeting  ,NYIF,Economics & Finance,"This course begins with a look at the determinants of value. We will cover two main approaches to valuing businesses as going concerns, discounting cash flows and valuation ratios, including the inputs needed to perform the calculations and how each deal with risk.",99.00,5608,4,0
846,Qué funciona en educación: políticas educativas basadas en evidencia  ,IDBx,Education & Teacher Training,Este curso sintetiza las principales investigaciones teóricas y prácticas que sustentan políticas educativas basadas en evidencia y profundiza sobre los principales avances y desafíos de los sistemas educativos de América Latina y el Caribe.,25.00,15808,10,0
847,Historia de la ética  ,UC3Mx,Philosophy & Ethics,"Cada día debemos afrontar diferentes problemas éticos a los que no tenemos claro qué respuesta dar como sociedad. Es importante conocer la definición de la ética y la moral para poder afrontar estos problemas. Este curso de filosofía y ética nos permitirá hacer un repaso por el origen de la ética, este es un ejercicio muy útil para poder replantear nuestros problemas éticos actuales y comprender mejor las implicaciones de nuestras decisiones basados en la ética y la moral. ",29.00,9623,6,0
848,AP® Physics 1: Challenging Concepts  ,DavidsonNext,Physics,"This course covers 8 different challenging topics in AP® Physics 1. Well-respected AP instructors from around the USA will lead you through video, assessment questions, and interactive activities.",49.00,12375,8,0
849,"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa  ",UNCordobaX,Biology & Life Sciences,"Las BPAs se definen como “el conjunto de principios, normas y recomendaciones técnicas, tendientes a reducir los riesgos físicos, químicos y biológicos en la producción, procesamiento, almacenamiento y transporte de productos de origen agropecuario, orientadas a asegurar la inocuidad del producto, la protección del ambiente y del personal involucrado, con el fin de propender al Desarrollo Sostenible. “Manual Agricultura Certificada AAPRESID” (Cobbe 2009)",99.00,0,4,1
850,"Batteries, Fuel Cells, and their Role in Modern Society  ",UrFUx,Science,"In today's world, we see game-changing movements in transportation and energy markets. A better understanding of the processes involved can help you to find your own role in these incipient shifts and take advantage of monumental changes down the road. ",49.00,12070,6,0
851,Demand and Supply Analytics  ,ColumbiaX,Business & Management,"How do airlines decide when to increase ticket prices? Should a hotel charge less per night for a long stay than a short one? Why do some software companies bundle very different products together? How should a fashion retailer decide when do start discounting clothes? Why do so many discounted rates end in "".99""? How should a company balance the risk of holding too much inventory on hand and the risk of turning away customers? Does it ever make sense for retailers to lie to suppliers about how much they will need to order? Should retailers with multiple locations hold most of their inventory in a central warehouse or at the individual locations?",249.00,23856,12,1
852,Social Media: How Media Got Social  ,CurtinX,Communication,"Social media and online communication dominate our daily lives in an unprecedented manner. Wireless connectivity, mobile devices and wearable technologies mean that social media is always on, always part of everyday life for billions of people across the world. ",139.00,13834,4,0
853,"Healthcare Finance, Economics and Risk  ",DoaneX,Economics & Finance,"This course is part of the Healthcare Administration MicroMasters program which consists of 7 courses and a capstone exam. After completing the program, you can also apply to Doane University to complete your MBA online for approximately $10,500 (learn more about the program here). ",199.00,8226,5,1
854,Culture and Law: The East Asian Perspective  ,WasedaX,Social Sciences,"In most Western cultures, personal identification is based on the individual, whereas in East Asia, the family registry system has been used to identify individuals.",49.00,0,3,0
855,Design in Healthcare: Using Patient Journey Mapping  ,DelftX,Design,"In this course you will learn about the different experiences patients go through in a medical context. The patient journey explores the interaction between the patient and the healthcare providers in all stages of the disease; coping with treatment and dealing with expectations, and interaction with and between different stakeholders. ",129.00,18170,8,0
856,Shared Decision Making and Interprofessional Collaboration in Health Care  ,HKPolyUx,Health & Safety,This course is about resonating with your experience and meaningfully engaging patients to make good decisions and to address the significance of interprofessional collaborations in health care.,60.00,0,6,0
857,Collaborative Data Science for Healthcare  ,MITx,Data Analysis & Statistics,"Research has been traditionally viewed as a purely academic undertaking, especially in limited-resource healthcare systems. Clinical trials, the hallmark of medical research, are expensive to perform, and take place primarily in countries which can afford them. Around the world, the blood pressure thresholds for hypertension, or the blood sugar targets for patients with diabetes, are established based on research performed in a handful of countries. There is an implicit assumption that the findings and validity of studies carried out in the US and other Western countries generalize to patients around the world.",49.00,0,12,2
858,Biorefinery: From Biomass to Building Blocks of Biobased Products  ,WageningenX,Chemistry,"The use of fossil resources is a controversial topic and there is much scientific research to argue against their use for energy, chemicals, and in the production of almost every product. Because of this, we're seeing a huge shift towards sustainable biobased and renewable resources and away from fossil-based ones. In this new world, it's critical to know how to efficiently and effectively obtain valuable elements from biomass. ",149.00,7258,7,2
859,Creating Virtual Reality (VR) Apps  ,UCSanDiegoX,Computer Science,"Build professional VR apps using Unity 3D, a powerful cross-platform 3D engine that provides a user-friendly development environment. In this course, part of the Virtual Reality Professional Certificate program, you will learn how to build a VR engine from the ground up, so you fully understand the entire rendering pipeline from 3D model to pixels in the VR display. We will also cover motion prediction, 3D stereo, lens distortion, time warp and other optimizations for a fluid, realistic VR experience.",99.00,22584,6,1
860,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom  ,ColumbiaX,History,"A New Birthof Freedom: The Civil War, 1861-1865 narrates the history of the American Civil War. While it examines individual engagements and the overall nature of the military conflict, the focus is less on the battlefield than on political, social, and economic change in the Union and the Confederacy. Central to the account are the road to emancipation, the role of black soldiers, the nature of Abraham Lincoln’s wartime leadership, internal dissent in both the North and South, the changing position of women in both societies, and the war’s long-term economic and intellectual impact. We end with a look at the beginnings of Reconstruction during the conflict.",50.00,18095,12,0
861,"Electronic, Optical, and Magnetic Properties of Materials  ",MITx,Engineering," This course from MIT’s Department of Materials Science and Engineering introduces the fundamental principles of quantum mechanics, solid state physics, and electricity and magnetism. We use these principles to describe the origins of the electronic, optical, and magnetic properties of materials, and we discuss how these properties can be engineered to suit particular applications, including diodes, optical fibers, LEDs, and solar cells.",150.00,9881,15,2
862,Question Everything: Scientific Thinking in Real Life  ,UQx,Math,"Have you ever wondered how you can apply math and science skills to real life? Do you wish you could go beyond what you've learned in the classroom? This science course will advance your knowledge as we unpack some important scientific thinking skills using real-world examples. By completing this course, you will be better prepared to continue studying math and science at the high school level and beyond.",59.00,34359,8,0
863,"Introducción al griego clásico: verbos, oraciones y filosofía  ",UAMx,Language,"Si te interesa la lengua griega y has cursado nuestra ""Introducción al griego clásico: lengua, nombres y mitología"", ya eres capaz de leer y escribir en griego y conoces lo esencial de la morfología nominal del griego clásico. Es hora de que amplíes tus conocimientos acercándote a la morfología verbal y la sintaxis, y de que consolides lo aprendido.",49.00,0,5,0
864,La España del Quijote  ,UAMx,History,"En un lugar de la UAM, cuyo nombre merece recordar, habita la España de El Quijote.",19.00,13475,7,0
865,Using GPUs to Scale and Speed-up Deep Learning  ,IBM,Data Analysis & Statistics,"Training acomplex deep learning model with a very large data set can take hours, days and occasionally weeks to train. So, what is the solution? Accelerated hardware.",99.00,9418,5,1
866,Pathology  病理学  ,TsinghuaX,Biology & Life Sciences,"Pathology is a basic medical discipline that explores diseases mainly from the perspective of morphology. By observing and studying the morphological changes of the diseased body, combined with changes in function and metabolism, it clarifies the basic laws of the occurrence and development of diseases and reveals the nature of diseases. Pathology is known as a doctor of doctors.",49.00,0,17,1
867,StudioX: Creating a Course with  Studio  ,edX,Education & Teacher Training,"In this course, we will introduce you to edX Studio, edX’s course-authoring tool. This course is ideal for course authors and course teams interested in uncovering the nuts and bolts of building an edX course. We will cover everything you need to know to successfully create your first course on the edX platform, including:",99.00,20532,3,0
868,Competencias para alinear las emociones con la mente  ,URosarioX,Health & Safety,"Un reto que enfrentamos en la actualidad en el mundo laboral, es cómo conectarnos con los demás, con el propósito de lograr con eficiencia y eficacia unos objetivos que sean rentables, una reciprocidad en la satisfacción de las expectativas y las necesidades de los clientes internos y externos y un aporte responsable al mejoramiento del entorno en que vivimos.",49.00,0,4,0
869,MathTrackX: Special Functions  ,AdelaideX,Math,This course is part two of the MathTrackX XSeries Program which has been designed to provide you with a solid foundation in mathematical fundamentals and how they can be applied in the real world.,79.00,0,4,0
870,Scripting and Programming Foundations  ,WGUx,Computer Science,"Computer programs are abundant in many people's lives today, carrying out applications on smartphones, tablets, and laptops, powering businesses, helping cars drive and planes fly, and much more. The course introduces computational thinking and algorithms, a sequence of instructions that solves a problem. Computational or mathematical thinking became increasingly important throughout the industrial age to enable people to successfully live and work. In the information age, computational thinking and algorithms will continue to be increasingly critical for work and everyday life. ",299.70,0,8,0
871,Cómo educar teniendo en cuenta la muerte  ,UAMx,Education & Teacher Training,"Los educadores nos formamos para poder educar para la vida. Pero, sin incluir la muerte de una manera consciente, esta acción siempre estará incompleta y mal enfocada, por lo que la educación plena no será posible.",49.00,0,3,0
872,Digital Biomaterials  ,HKUx,Medicine,"Learn from a dynamic team of 25 dental practitioners and researchers across 10 dental specialties from around the world led by HKU’s Professor Jukka P. Matinlinna and Dr James K.H. Tsoi. In this 4-Week-4-Module course, Digital Biomaterials, you will not only learn the special properties of novel biomaterials in oral health care, but you will be introduced to the crucial and dramatic roles of digital dentistry in contemporary oral health care.",149.00,0,4,0
873,Tropical coastal ecosystems  ,UQx,Biology & Life Sciences,"Do you want to develop the skills and knowledge needed to help preserve tropical coastal ecosystems? These habitats provide goods and services for hundreds of millions of people but human activities have led to their global decline. TROPIC101x will introduce you to the incredible plants and animals that create these unique ecosystems. You will go on to explore the challenges these ecosystems are facing such as overfishing, coastal pollution, ocean warming and acidification, then learn about some techniques being used to tackle these problems. Lectures will be delivered by leading experts. Many of them were filmed on-site in the Great Barrier Reef, at The University of Queensland's research station on Heron Island. The course concludes with an innovative virtual ecology project, where you will have the option to take part in a citizen science project. Join us on an exciting journey, as you develop new knowledge and skills, during this beautiful and engaging course!",99.00,23190,9,0
874,Origins of the Human Mind  ,KyotoUx,Science,"The human mind is an evolutionary product, just like the body. However, the mind does not remain in fossil form like bones and teeth. Therefore, to better study and understand our minds their evolutionary origins we need to compare our cognitive features with those of different living primates. This approach is called ""Comparative Cognitive Science (CCS)"". CCS is a unique combination of Psychology and Primatology. CCS tries to give answers to the fundamental questions such as ""what is uniquely human?"", ""where did it come from?”, ""how did we get here?”, and ""where do we go?"" This intensive course focuses on chimpanzees, the closest relatives of humans.",49.00,11964,5,0
875,The Power of Data  ,Rolls-Royce,Data Analysis & Statistics,Key course outcomes:,49.00,0,2,0
876,Grant Writing and Crowdfunding for Public Libraries  ,MichiganX,Humanities,"This course, part of the Public Library Management Professional Certificate program, explores strategies for developing effective grant proposals and for engaging the community in crowdfunding campaigns.",49.00,13008,4,0
877,The UN Sustainable Development Goals: an Interdisciplinary Academic Introduction  ,KULeuvenX,Social Sciences,"The Sustainable Development Goals (SDGs) of the United Nations, which were adopted in 2015, will determine the course of the global social, ecological and economic agenda until 2030. ",49.00,0,7,0
878,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications  ",EPFLx,Engineering,This physics course covers the physical principles of major in vivo bio-imaging modalities and the different imaging techniques.,169.00,10442,7,2
879,MathTrackX: Differential Calculus  ,AdelaideX,Math,This course is part three of the MathTrackX XSeries Program which has been designed to provide you with a solid foundation in mathematical fundamentals and how they can be applied in the real world.,79.00,0,4,0
880,Risk Management for Projects  ,AdelaideX,Business & Management,"Risk management is a process used for the identification, assessment and analysis of potential risks to an organization or project. This process enables you to develop the most appropriate risk response.",199.00,22507,5,0
881,Cómo implantar grupos de mejora de procesos  ,UPValenciaX,Business & Management,"Cuando hacer las cosas bien no es suficiente, necesitamos convertir la mejora continua en un lema diario para todos los trabajadores de la empresa. Para ello necesitamos conocer técnicas que nos ayuden a realizar esta tarea de manera más sistemática y eficiente para que, por un lado, tengamos mejores resultados y, por otro, no nos dispersemos con las urgencias de un día a día caótico. En este curso de habilidades blandas enfocado en la mejora de procesos, aprenderás a definir problemas/oportunidades, y a convertirlas en un proyecto de mejora continua. ",150.00,28302,8,0
882,Introducción a la gravedad cuántica de lazos  ,UNCordobaX,Science,"En este curso de física vamos a discutir la gravitación cuántica de lazos o bucles (Loop Quantum Gravity) que es uno de los dos contendientes más importantes a compatibilizar la teoría de Albert Einstein de relatividad general, que es una teoría de la gravedad con la teoría cuántica. ",50.00,7477,5,0
883,Leadership focused on Human Flourishing  ,TecdeMonterreyX,Business & Management,"It describes the elements of the Leadership model oriented towards human flourishing, in order to develop leaders who achieve better results.",149.00,0,4,1
884,Comparative Political Systems  ,FedericaX,Social Sciences,"This course is part of the IPSAMOOC project, a joint venture Federica Weblearning - IPSA, the International Political Science Association",59.00,7158,6,0
885,Pricing Options with Mathematical Models  ,CaltechX,Economics & Finance,"This is an introductory course on options and other financial derivatives, and their applications to risk management. We will start with discrete-time, binomial trees models, but most of the course will be in the framework of continuous-time, Brownian Motion driven models. A basic introduction to Stochastic, Ito Calculus will be given. The benchmark model will be the Black-Scholes-Merton pricing model, but we will also discuss more general models, such as stochastic volatility models. We will discuss both the Partial Differential Equations approach, and the probabilistic, martingale approach. We will also cover an introduction to modeling of interest rates and fixed income derivatives.",49.00,42088,10,2
886,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo)  ,CatalystX,Business & Management,"Qué diferencia un líder exitoso a un mediocre? En este curso, aprenderá cómo son los lideres exitosos del siglo 21 y cómo usted puede adoptar su estilo de liderazgo inclusivo. Usando investigaciones y mejores prácticas, además de historias de grandes lideres y gente cotidiana, usted pondrá en práctica empoderamiento, responsabilidad, valor y humildad—habilidades claves vinculadas a equipos inclusivos y exitosos. Durante el curso, conocerá a gente como usted, que quieren ser los mejores lideres posibles al incorporar el liderazgo inclusivo en sus vidas diarias. Con pequeñas pruebas y casos prácticos cautivadores, mejorará sus habilidades en cada sección. De mayor importancia, se aplicarán sus nuevas habilidades de liderazgo a través de emocionantes ejercicios de la vida real. Al fin del curso, usted va a crear un Plan de Liderazgo Personal que le ayudará a seguir desarrollarando sus habilidades, conocimiento, y percatación, en su búsqueda para llegar a ser un líder exitoso e incluyente.",50.00,11691,4,0
887,VideoX: Creating Video for the  Platform  ,edX,Education & Teacher Training,VideoX is an introduction to the video creation process for edX.org. This course is part of the edX Course Creator XSeries and should be taken after completing StudioX.,99.00,12325,2,0
888,Análisis Multivariable en SPSS  ,GalileoX,Data Analysis & Statistics,"Las decisiones hoy día se realizan considerando múltiples variables en forma simultánea, para ello debemos analizar conjuntos de datos multivariantes medidos simultáneamente para cada individuo u objeto estudiado.",49.00,0,5,0
889,Introducción a la factura electrónica  ,logycaX,Economics & Finance,"La factura electrónica, es la innovación que ha generado un cambio en la relación empresarial, debido a que es una manera más sostenible para no impactar el medio ambiente mediante la reducción del uso de papel, y genera ahorro de costos para las compañías. Este proceso se viene desarrollando en diferentes países, conformando un cambio global además de un cambio regional. ",49.90,6018,4,1
890,Becoming an Agent of Sustainable Change  ,WageningenX,Environmental Studies,"Nowadays there is a lot of talk about sustainability, yet it has come to mean many different things in different contexts. Although defining sustainability is complicated, understanding it is crucial in helping us solve urgent global issues. With this free online course, you will not only develop a better understanding of the complexities of sustainability, you will be able to start making sustainable change in your own life, in your own environment, right now.",49.00,0,7,0
891,Human Reproduction  ,AdelaideX,Biology & Life Sciences,Have you ever wondered: ,169.00,5703,6,1
892,Omnichannel Strategy and Management  ,DartmouthX,Business & Management,"Retail customers are omnichannel. They increasingly expect to interact with retailers in a seamless way, combining aspects of different channels at different stages of their purchase journey. They want to place an order online and pick it up an hour later on their way to work, or return at the store an order they had placed online. We have been studying for many years how traditional retailers can become omnichannel retailers. It is not an easy transition and requires a fundamental change in the retailer’s processes, systems and strategy. This transformation is not about small adjustments but a complete redesign of the retailer’s business model.",99.00,16031,4,1
893,Entrepreneurial Opportunities  ,AdelaideX,Business & Management,"Do you have a business idea, but you’re not sure if it’s going to fly? Or maybe you know you want to be an entrepreneur, but you’re not sure where to start? This business course is for anyone aspiring to be an entrepreneur – regardless of the industry or type of venture you might have in mind.",50.00,27426,5,0
894,Introduction to FinOps  ,LinuxFoundationX,Computer Science,"Organizations using Cloud and DevOps face challenges to the traditional way IT has been procured, managed and optimized. Traditional siloes of IT, Finance, and Business are breaking down, and traditional procurement and financial management processes are significantly changed by the cloud. Cloud spend is more dynamic, less predictable, and understanding the vast amount of data on the cloud bill can be daunting. Companies want product teams to be more responsive to customer demand, for DevOps teams to build faster and better, and for costs to be managed tightly. FinOps provides a framework to align these groups within an organization to achieve these results.",169.00,0,6,0
895,Educación sobre el cambio climático  ,IDBx,Education & Teacher Training,"Nuestro clima está cambiando rápidamente, y ahora más que nunca, necesitamos estar listos para actuar y preparar la próxima generación para cuidar de nuestro planeta.",25.00,23399,10,0
896,Human-Centered Design for Work at a Distance: Toolbox Essentials  ,UBCx,Design,"To prepare you for this course, we recommend completing the free 3-hour introductory MOOC Re-Imagine Work - Strategies During COVID-19 and Beyond.",169.00,0,4,0
897,Understanding the Australian Health Care System  ,UQx,Medicine,"This course will enable you to understand the workings of the Australian health care system. By following in the footsteps of patient journeys, you will gain an experiential understanding of how this multi-layered system operates in the context of the geographic, social and cultural landscapes of Australia and how to successfully navigate within this system.",59.00,8541,9,0
898,Data for Effective Policy Making  ,IDBx,Math,"In this age of information, data is available everywhere and grows at an exponential rate. How can we make sense of all this data?, how do we take advantage of data when making decisions?, how do we use data to help us guide the management and planning of our policies?",25.00,14024,10,0
